amount,avg_txn_amount,amount_deviation,txn_frequency_24h,txn_hour,is_new_beneficiary,prior_suspicious_count,account_age_days,balance_to_amount_ratio,is_transfer,is_fraud
3582.25,4786.9,-0.2516,2,15,0,0,883,106.1739,1,0
3592.47,5956.92,-0.3969,3,20,0,0,691,38.4987,1,0
26640.89,22957.57,0.1604,0,16,0,0,204,2.5128,1,0
8406.54,14858.69,-0.4342,0,16,1,0,670,19.1715,0,0
14442.46,10640.99,0.3572,1,1,0,0,1513,24.8474,0,0
7312.1,7493.28,-0.0242,3,5,0,0,1893,36.1974,1,0
4639.84,6378.98,-0.2726,3,5,0,0,1310,33.8549,1,0
15532.14,17823.67,-0.1286,1,6,0,0,1701,8.6917,0,0
11218.18,10040.91,0.1172,2,8,1,0,1872,15.7652,0,0
20478.96,15179.24,0.3491,3,13,0,0,642,8.7442,0,0
15264.5,13207.2,0.1558,1,1,0,0,1185,21.5602,0,0
21120.08,20425.44,0.034,2,12,1,0,295,7.44,1,0
5898.25,10497.64,-0.4381,2,13,0,0,179,6.8966,1,0
20584.34,14982.13,0.3739,3,6,1,0,79,2.8649,0,0
6509.3,5283.44,0.232,3,0,0,0,823,16.7107,1,0
14904.16,16490.76,-0.0962,2,11,1,0,403,17.8739,0,0
17331.84,15687.2,0.1048,1,12,0,0,910,17.1549,0,0
25046.08,18654.88,0.3426,0,7,0,0,1382,4.5454,1,0
17723.9,16773.3,0.0567,3,6,0,0,268,7.5797,0,0
15432.86,13653.09,0.1303,2,22,0,0,1045,3.1897,1,0
9661.76,10754.61,-0.1016,1,0,0,0,1554,9.6786,1,0
15288.02,13094.12,0.1675,1,13,0,0,1760,10.5819,1,0
514.39,6472.09,-0.9204,1,18,0,0,1653,651.2216,1,0
1951.66,16310.13,-0.8803,2,23,0,0,1353,97.9171,0,0
33313.2,20022.15,0.6638,3,16,0,0,222,0.9367,1,0
17718.34,24769.51,-0.2847,0,8,0,0,676,15.8106,0,0
27472.13,24665.55,0.1138,0,6,0,0,1862,13.5527,0,0
10330.55,14874.88,-0.3055,0,17,0,0,1473,36.8876,0,0
9971.52,10075.3,-0.0103,0,20,0,0,149,24.7584,1,0
164176.32,4559.86,34.997,8,10,1,0,332,0.1436,1,1
22858.09,16473.52,0.3875,2,16,0,0,1047,16.6108,1,0
17802.62,16387.64,0.0863,3,7,0,0,1745,15.8233,1,0
6074.25,5632.13,0.0785,0,1,0,0,1005,38.547,1,0
7080.33,8986.26,-0.2121,2,8,0,0,736,26.5454,0,0
23021.52,22388.74,0.0283,2,7,0,0,999,3.191,1,0
7306.31,15073.69,-0.5153,3,6,0,0,646,40.5552,0,0
5819.27,9198.98,-0.3674,3,22,0,0,1670,28.3683,1,0
4313.3,5068.12,-0.1489,2,8,1,0,100,38.0927,0,0
9869.33,23554.77,-0.581,1,5,0,0,1526,23.6287,0,0
22003.82,21871.74,0.006,3,9,0,0,1541,5.918,1,0
3887.79,5548.02,-0.2992,3,16,0,0,1020,16.2374,1,0
9627.71,24638.11,-0.6092,3,10,0,0,923,3.587,1,0
1718.93,5602.73,-0.6931,0,16,0,0,1465,12.9317,1,0
12471.92,12676.99,-0.0162,2,10,1,0,552,17.2779,0,0
12769.02,13669.01,-0.0658,0,13,0,0,242,1.5672,0,0
3725.68,8892.68,-0.581,3,6,0,0,1353,71.4722,0,0
35928.41,22021.33,0.6315,0,7,1,0,1632,9.8788,1,0
12333.4,13898.45,-0.1126,2,19,0,0,1193,30.4767,1,0
12718.89,10726.42,0.1857,0,10,0,0,1102,20.9079,0,0
21292.26,24608.24,-0.1347,1,9,1,0,466,18.3544,1,0
10421.97,22861.1,-0.5441,1,6,0,0,384,27.9609,1,0
7508.49,16660.78,-0.5493,1,9,0,0,896,46.7801,1,0
12127.24,17297.04,-0.2989,2,10,0,0,1028,18.5193,1,0
13264.64,13792.12,-0.0382,2,4,0,0,1106,17.9122,0,0
8781.88,7678.14,0.1437,1,22,0,0,1979,22.7573,0,0
4203.77,5521.7,-0.2386,0,19,1,0,1154,65.3952,0,0
16095.46,20528.88,-0.2159,3,11,0,0,1539,22.0683,1,0
11819.38,14718.65,-0.197,0,10,0,0,886,7.2301,0,0
4053.42,3493.81,0.1601,1,6,0,0,1854,8.9766,1,0
25341.89,20756.73,0.2209,0,1,0,0,534,15.3401,0,0
5288.78,3893.95,0.3581,2,6,0,0,552,23.8314,0,0
6591.17,6974.61,-0.055,1,0,0,0,673,37.5686,0,0
8078.31,17701.73,-0.5436,2,7,0,0,1646,27.2528,1,0
19926.79,20364.98,-0.0215,3,12,0,0,1752,15.867,0,0
11457.13,6855.96,0.671,0,7,0,0,1676,18.1408,1,0
26100.64,21350.38,0.2225,0,5,0,0,1160,4.5207,0,0
19831.93,18338.53,0.0814,1,13,1,0,1967,6.8457,0,0
100,7779.61,-0.987,2,5,0,0,1599,2277.9513,1,0
18259.58,24014.31,-0.2396,3,11,1,0,357,11.22,0,0
21939.24,15869.53,0.3825,2,8,0,0,1528,14.6714,1,0
11219.66,13388.84,-0.162,1,10,1,0,1070,17.252,1,0
5082.83,11968.39,-0.5753,1,7,0,0,1867,57.9404,0,0
33997.32,23538.39,0.4443,2,7,0,0,1449,8.7352,1,0
17863.32,16077.54,0.1111,1,13,0,0,657,8.015,0,0
25993.36,14581.87,0.7825,1,10,0,0,1673,3.7145,1,0
14728.05,16532.35,-0.1091,2,12,1,0,154,18.3571,1,0
8429.3,6666.18,0.2644,3,2,1,0,752,22.3818,1,0
6042.93,5861.39,0.031,3,14,0,0,838,45.863,1,0
9405.39,5588.32,0.6829,2,6,1,0,1176,8.1585,1,0
21797.42,15281.46,0.4264,3,6,0,0,1685,6.0389,1,0
8102.2,7134.18,0.1357,1,17,0,0,1082,7.3703,1,0
34223.24,24298.53,0.4084,2,11,0,0,1458,10.0576,1,0
18701.17,16319.39,0.1459,0,19,0,0,1604,3.0846,1,0
6452.19,6063.17,0.0642,2,13,0,0,374,6.5946,0,0
9188.36,14163.34,-0.3512,1,8,0,0,539,8.9647,0,0
232371.19,10504.68,21.1187,3,23,1,0,394,0.1125,1,1
22112.11,19544.22,0.1314,0,16,0,0,1979,2.3119,0,0
2604.99,3095.43,-0.1584,3,18,0,0,1071,115.0277,1,0
4779.0,4546.16,0.0512,2,6,0,0,1551,12.7271,1,0
5570.29,4441.01,0.2542,2,7,0,0,106,24.3869,0,0
276589.84,8112.25,33.0913,7,2,0,1,279,0.192,1,1
7515.0,9599.85,-0.2172,2,7,0,0,1246,6.4464,1,0
30251.96,24820.42,0.2188,2,15,1,0,1463,2.3377,0,0
10896.39,10759.41,0.0127,1,10,0,0,351,3.5515,1,0
14274.1,11414.06,0.2505,3,10,0,0,1230,1.6851,0,0
81995.93,6909.87,10.8649,7,22,1,3,88,0.4478,1,1
3644.63,5835.54,-0.3754,0,15,0,0,1877,77.3555,1,0
5309.31,7881.33,-0.3263,0,5,0,0,961,13.8858,1,0
36412.85,24711.17,0.4735,2,14,0,0,1811,8.2119,1,0
7700.41,5861.15,0.3138,0,18,0,0,1623,29.0492,1,0
102574.91,7331.84,12.9886,7,20,1,1,71,0.3245,1,1
3501.57,4129.62,-0.152,0,9,0,0,982,108.5305,1,0
31252.2,22293.81,0.4018,0,13,0,0,440,4.4176,0,0
26736.2,14826.98,0.8032,2,21,0,0,1428,12.2203,0,0
13674.51,13472.97,0.015,3,14,0,0,619,6.9448,1,0
156887.64,9542.27,15.4397,8,23,1,2,25,0.2396,1,1
14453.4,11561.45,0.2501,1,17,0,0,190,21.2483,1,0
15134.99,13179.3,0.1484,3,10,0,0,1652,17.5472,0,0
18609.23,19311.47,-0.0364,1,7,0,0,1739,19.5666,0,0
15960.77,17016.05,-0.062,3,23,1,0,783,5.4038,1,0
9877.22,7825.06,0.2622,3,6,0,0,254,40.3984,0,0
5292.06,11896.63,-0.5551,3,6,0,0,278,21.716,0,0
3432.0,6056.17,-0.4332,0,16,0,0,957,70.1112,1,0
8691.19,7557.46,0.15,1,17,0,0,597,16.6647,1,0
12191.82,24425.62,-0.5008,2,7,0,0,912,13.6023,1,0
6940.1,10093.27,-0.3124,3,6,0,0,718,8.2315,0,0
25208.58,19376.03,0.301,2,19,0,0,1871,10.4214,1,0
14080.22,11462.59,0.2283,3,13,0,0,94,6.3973,1,0
7049.26,9310.4,-0.2428,3,10,0,0,315,24.2347,1,0
4091.25,3482.09,0.1749,0,10,0,0,106,51.7468,0,0
22062.29,18092.26,0.2194,3,19,0,0,1668,14.7554,1,0
12852.14,11717.28,0.0968,2,22,1,0,1368,21.1454,1,0
16238.08,17112.25,-0.0511,0,23,1,0,1666,22.3507,1,0
15974.16,12037.79,0.327,3,19,0,0,619,22.0324,1,0
14567.55,11238.14,0.2962,3,10,0,0,1385,25.2945,1,0
12309.36,10267.22,0.1989,0,12,0,0,974,16.6732,1,0
7042.65,5551.09,0.2687,3,16,0,0,777,29.9253,0,0
36380.21,23399.45,0.5547,0,17,0,0,140,9.6862,0,0
32243.39,21976.67,0.4671,1,12,0,0,1847,10.9905,0,0
2681.74,3144.93,-0.1472,3,10,0,0,204,125.7031,0,0
474538.52,14404.64,31.9412,5,1,1,0,357,0.0146,1,1
27122.49,21818.34,0.2431,3,10,1,0,1439,7.3208,1,0
15421.88,16427.3,-0.0612,1,12,0,0,559,22.2632,0,0
16142.55,20687.25,-0.2197,1,14,0,0,701,13.4634,1,0
5265.32,4195.47,0.2549,1,21,0,0,823,35.2483,0,0
20794.06,18867.54,0.1021,1,8,0,0,1420,12.0439,0,0
19890.26,19349.18,0.028,1,5,0,0,650,14.5539,1,0
10146.93,22512.13,-0.5492,1,7,0,0,1101,30.9003,0,0
15539.75,13072.22,0.1887,3,16,0,0,1843,15.1906,1,0
12841.34,10816.76,0.1872,1,16,0,0,1927,18.6583,1,0
23030.12,17942.46,0.2835,0,12,0,0,254,16.8653,0,0
6259.47,14915.33,-0.5803,1,20,0,0,775,33.9054,1,0
18619.05,13526.86,0.3764,1,16,0,0,686,20.2403,0,0
343984.45,12347.34,26.8568,8,22,1,0,48,0.0413,1,1
8243.43,11007.48,-0.2511,1,21,1,0,1162,44.8407,1,0
161191.69,5754.88,27.0049,4,1,1,0,167,0.1102,1,1
6610.86,5984.61,0.1046,3,14,0,0,1843,29.0969,0,0
12938.79,16055.01,-0.1941,3,14,0,0,1510,4.0092,1,0
4472.48,4561.85,-0.0196,1,4,0,0,706,58.0799,0,0
3493.5,3921.21,-0.109,1,8,0,0,1287,11.4906,1,0
21577.53,17104.14,0.2615,2,21,0,0,488,16.9603,0,0
1919.89,6224.96,-0.6915,3,16,0,0,1009,39.6464,1,0
16037.28,10798.41,0.4851,2,13,0,0,724,4.2028,1,0
6137.16,5637.83,0.0886,1,16,1,0,1863,23.0275,0,0
26271.47,22219.65,0.1823,1,12,1,0,711,3.4828,0,0
10086.81,16179.03,-0.3765,3,18,1,0,893,15.6396,0,0
14700.5,20726.85,-0.2907,3,14,0,0,391,1.3732,0,0
23579.83,23837.17,-0.0108,0,11,0,0,1650,12.5769,1,0
20120.93,15690.55,0.2823,3,8,0,0,1686,5.0155,1,0
207925.03,7191.65,27.9081,6,14,1,0,398,0.0468,1,1
18991.4,15600.85,0.2173,0,9,0,0,1715,15.8092,1,0
13381.43,15981.32,-0.1627,3,23,0,0,777,6.8856,1,0
13547.88,11414.96,0.1868,3,13,0,0,1899,21.4838,1,0
21882.16,16311.71,0.3415,2,11,0,0,905,17.2961,0,0
22922.18,19666.29,0.1655,1,12,0,0,929,2.2423,1,0
12526.23,23939.12,-0.4767,0,6,0,0,1487,27.123,1,0
264583.89,8078.27,31.7486,5,4,1,2,191,0.1484,1,1
13765.34,13304.68,0.0346,1,4,0,0,635,25.4034,1,0
11327.92,13138.63,-0.1378,3,15,0,0,573,10.7131,0,0
11000.15,11562.64,-0.0486,1,12,1,0,925,8.3119,0,0
115249.06,3955.28,28.1309,7,18,1,3,92,0.1999,1,1
17588.11,15013.9,0.1714,1,23,0,0,59,8.6572,0,0
8972.79,15065.92,-0.4044,2,16,0,0,247,18.862,0,0
